[2025-06-05 10:58:50,476: INFO: main: Logging is implemented]
[2025-06-05 15:39:47,345: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 15:39:47,352: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 15:41:57,723: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 15:41:57,730: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 15:41:57,743: INFO: common: created directory at: artifacts]
[2025-06-05 15:41:57,747: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-05 15:41:59,655: INFO: 227420655: File is downloaded]
[2025-06-05 15:53:05,758: INFO: main: stage Data Ingestion stage initiated]
[2025-06-05 15:53:05,760: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-06-05 15:53:05,761: INFO: common: yaml file: params.yaml loaded successfully]
[2025-06-05 15:53:05,761: INFO: common: created directory at: artifacts]
[2025-06-05 15:53:05,762: INFO: common: created directory at: artifacts/data_ingestion]
[2025-06-05 15:53:07,011: INFO: data_ingestion: File is downloaded]
[2025-06-05 15:53:07,201: INFO: main: Stage Data Ingestion stage Completed]
